iteration,temperature
0,1364102.2022074184
1,1361523.7089361614
2,1358950.0896600778
3,1356381.3351661018
4,1353817.4362585824
5,1351258.3837592504
6,1348704.1685071858
7,1346154.7813587855
8,1343610.2131877295
9,1341070.4548849494
10,1338535.4973585948
11,1336005.3315340013
12,1333479.9483536577
13,1330959.3387771742
14,1328443.4937812493
15,1325932.4043596375
16,1323426.061523118
17,1320924.4562994614
18,1318427.579733398
19,1315935.4228865863
20,1313447.9768375799
21,1310965.2326817962
22,1308487.1815314852
23,1306013.8145156961
24,1303545.122780247
25,1301081.097487692
26,1298621.729817291
27,1296167.0109649766
28,1293716.9321433236
29,1291271.484581517
30,1288830.6595253213
31,1286394.4482370482
32,1283962.841995526
33,1281535.8320960682
34,1279113.4098504423
35,1276695.5665868386
36,1274282.2936498395
37,1271873.5824003883
38,1269469.424215758
39,1267069.8104895211
40,1264674.732631518
41,1262284.1820678269
42,1259898.1502407326
43,1257516.6286086964
44,1255139.6086463253
45,1252767.081844341
46,1250399.0397095503
47,1248035.473764814
48,1245676.3755490165
49,1243321.7366170366
50,1240971.548539716
51,1238625.8029038296
52,1236284.4913120554
53,1233947.6053829445
54,1231615.136750891
55,1229287.0770661023
56,1226963.4179945686
57,1224644.1512180339
58,1222329.2684339653
59,1220018.761355524
60,1217712.6217115354
61,1215410.8412464594
62,1213113.411720361
63,1210820.324908881
64,1208531.5726032057
65,1206247.1466100386
66,1203967.0387515703
67,1201691.2408654497
68,1199419.7448047542
69,1197152.5424379613
70,1194889.625648919
71,1192630.986336817
72,1190376.6164161572
73,1188126.5078167254
74,1185880.6524835618
75,1183639.042376933
76,1181401.669472302
77,1179168.5257603012
78,1176939.6032467014
79,1174714.8939523855
80,1172494.3899133184
81,1170278.0831805195
82,1168065.965820033
83,1165858.0299129013
84,1163654.2675551346
85,1161454.670857684
86,1159259.231946413
87,1157067.9429620688
88,1154880.7960602553
89,1152697.7834114034
90,1150518.8972007444
91,1148344.129628281
92,1146173.4729087607
93,1144006.919271646
94,1141844.4609610883
95,1139686.0902358992
96,1137531.7993695233
97,1135381.5806500104
98,1133235.4263799873
99,1131093.3288766313
100,1128955.2804716418
101,1126821.2735112135
102,1124691.3003560083
103,1122565.3533811287
104,1120443.4249760902
105,1118325.5075447937
106,1116211.5935054987
107,1114101.6752907962
108,1111995.7453475816
109,1109893.7961370272
110,1107795.820134556
111,1105701.809829814
112,1103611.7577266435
113,1101525.6563430568
114,1099443.498211209
115,1097365.275877371
116,1095290.9819019034
117,1093220.6088592294
118,1091154.1493378081
119,1089091.5959401089
120,1087032.941282584
121,1084978.1779956424
122,1082927.2987236234
123,1080880.2961247705
124,1078837.1628712048
125,1076797.891648899
126,1074762.4751576511
127,1072730.9061110583
128,1070703.1772364909
129,1068679.2812750663
130,1066659.210981623
131,1064642.9591246948
132,1062630.5184864847
133,1060621.8818628388
134,1058617.042063221
135,1056615.9919106879
136,1054618.7242418611
137,1052625.2319069034
138,1050635.5077694927
139,1048649.5447067958
140,1046667.335609444
141,1044688.8733815065
142,1042714.1509404663
143,1040743.1612171936
144,1038775.897155921
145,1036812.3517142185
146,1034852.517862968
147,1032896.3885863383
148,1030943.9568817593
149,1028995.2157598983
150,1027050.1582446336
151,1025108.7773730303
152,1023171.0661953153
153,1021237.0177748521
154,1019306.6251881163
155,1017379.8815246708
156,1015456.7798871405
157,1013537.3133911885
158,1011621.475165491
159,1009709.2583517124
160,1007800.6561044813
161,1005895.6615913658
162,1003994.2679928489
163,1002096.468502304
164,1000202.2563259712
165,998311.624682932
166,996424.566805086
167,994541.0759371257
168,992661.1453365132
169,990784.7682734554
170,988911.9380308805
171,987042.6479044134
172,985176.8912023519
173,983314.6612456429
174,981455.9513678586
175,979600.7549151719
176,977749.0652463335
177,975900.8757326476
178,974056.1797579483
179,972214.9707185758
180,970377.2420233529
181,968542.9870935614
182,966712.1993629187
183,964884.8722775539
184,963060.9992959845
185,961240.5738890931
186,959423.589540104
187,957610.0397445599
188,955799.9180102984
189,953993.217857429
190,952189.9328183096
191,950390.056437524
192,948593.582271858
193,946800.5038902767
194,945010.8148739014
195,943224.5088159869
196,941441.5793218983
197,939662.020009088
198,937885.8245070732
199,936112.9864574127
200,934343.4995136845
201,932577.357341463
202,930814.5536182958
203,929055.082033682
204,927298.936289049
205,925546.11009773
206,923796.5971849414
207,922050.3912877608
208,920307.4861551042
209,918567.8755477037
210,916831.553238085
211,915098.5130105455
212,913368.7486611318
213,911642.2539976175
214,909919.0228394809
215,908199.0490178833
216,906482.3263756463
217,904768.8487672305
218,903058.6100587128
219,901351.6041277648
220,899647.824863631
221,897947.2661671066
222,896249.9219505157
223,894555.78613769
224,892864.8526639461
225,891177.115476065
226,889492.5685322693
227,887811.2058022025
228,886133.0212669065
229,884458.008918801
230,882786.162761661
231,881117.4768105964
232,879451.9450920296
233,877789.561643675
234,876130.3205145167
235,874474.215764788
236,872821.2414659498
237,871171.3917006695
238,869524.6605627997
239,867881.0421573567
240,866240.5306005005
241,864603.1200195125
242,862968.804552775
243,861337.5783497505
244,859709.4355709604
245,858084.370387964
246,856462.3769833379
247,854843.4495506552
248,853227.5822944645
249,851614.7694302691
250,850005.0051845069
251,848398.2837945286
252,846794.5995085782
253,845193.946585772
254,843596.3192960777
255,842001.7119202944
256,840410.1187500319
257,838821.5340876902
258,837235.9522464391
259,835653.3675501981
260,834073.774333616
261,832497.1669420503
262,830923.5397315474
263,829352.8870688217
264,827785.2033312366
265,826220.4829067832
266,824658.7201940609
267,823099.9096022571
268,821544.045551127
269,819991.1224709745
270,818441.1348026308
271,816894.0769974358
272,815349.9435172176
273,813808.7288342732
274,812270.4274313477
275,810735.0338016155
276,809202.5424486604
277,807672.9478864556
278,806146.2446393444
279,804622.4272420204
280,803101.4902395079
