iteration,temperature
0,14134.297200846011
1,14114.09314268517
2,14093.917964910834
3,14073.771626240372
4,14053.654085450162
5,14033.565301375507
6,14013.505232910555
7,13993.473839008208
8,13973.471078680044
9,13953.496910996235
10,13933.551295085454
11,13913.634190134799
12,13893.745555389709
13,13873.885350153878
14,13854.05353378917
15,13834.250065715545
16,13814.474905410962
17,13794.728012411308
18,13775.00934631031
19,13755.318866759451
20,13735.656533467896
21,13716.022306202396
22,13696.416144787216
23,13676.838009104047
24,13657.287859091932
25,13637.765654747174
26,13618.27135612326
27,13598.804923330777
28,13579.366316537333
29,13559.955495967472
30,13540.572421902596
31,13521.217054680883
32,13501.889354697201
33,13482.589282403034
34,13463.3167983064
35,13444.071862971763
36,13424.854437019962
37,13405.664481128122
38,13386.50195602958
39,13367.366822513804
40,13348.259041426309
41,13329.178573668574
42,13310.125380197976
43,13291.099422027695
44,13272.10066022664
45,13253.129055919373
46,13234.184570286021
47,13215.267164562207
48,13196.376800038961
49,13177.513438062646
50,13158.677040034878
51,13139.867567412448
52,13121.08498170724
53,13102.329244486156
54,13083.600317371036
55,13064.898162038577
56,13046.222740220255
57,13027.574013702255
58,13008.951944325381
59,12990.356493984984
60,12971.787624630882
61,12953.245298267288
62,12934.72947695272
63,12916.240122799938
64,12897.777197975856
65,12879.340664701469
66,12860.930485251773
67,12842.54662195569
68,12824.189037195989
69,12805.857693409214
70,12787.552553085603
71,12769.273578769009
72,12751.020733056828
73,12732.79397859992
74,12714.593278102533
75,12696.418594322227
76,12678.269890069798
77,12660.1471282092
78,12642.050271657476
79,12623.979283384668
80,12605.934126413757
81,12587.914763820576
82,12569.921158733743
83,12551.953274334577
84,12534.01107385703
85,12516.094520587603
86,12498.203577865286
87,12480.338209081465
88,12462.49837767986
89,12444.684047156445
90,12426.895181059373
91,12409.131742988906
92,12391.393696597332
93,12373.681005588898
94,12355.993633719736
95,12338.331544797782
96,12320.69470268271
97,12303.083071285848
98,12285.496614570118
99,12267.935296549951
100,12250.399081291218
101,12232.887932911153
102,12215.401815578287
103,12197.940693512364
104,12180.504530984277
105,12163.093292315993
106,12145.706941880473
107,12128.34544410161
108,12111.008763454145
109,12093.696864463607
110,12076.409711706228
111,12059.147269808878
112,12041.909503448991
113,12024.696377354492
114,12007.507856303726
115,11990.34390512538
116,11973.204488698426
117,11956.089571952029
118,11938.99911986549
119,11921.93309746817
120,11904.89146983942
121,11887.874202108504
122,11870.88125945453
123,11853.91260710639
124,11836.968210342666
125,11820.048034491581
126,11803.152044930917
127,11786.280207087946
128,11769.432486439357
129,11752.60884851119
